app,type,dif
cm1,kub,152
cm1,kub,173
cm1,kub,168
cm1,volcano,146
cm1,volcano,149
cm1,volcano,150
gromacs,kub,223
gromacs,kub,242
gromacs,kub,244
gromacs,volcano,225
gromacs,volcano,227
gromacs,volcano,223
parint,kub,392
parint,kub,410
parint,kub,407
parint,volcano,378
parint,volcano,377
parint,volcano,377
